,Channel1,Channel2,Channel3,Channel4
666,0,0.16,-0.16,-0.32
667,0.08,0.16,-0.08,-0.24
668,0,0.16,-0.16,-0.32
669,4.32,0.16,-0.08,-0.16
670,-1.52,0.16,-0.16,-0.4
671,0.08,0.16,-0.08,4
672,-0.08,0.16,-0.16,-1.84
673,0.08,0.16,-0.08,-0.24
674,0,0.16,-0.16,-0.32
675,0.08,0.16,-0.08,-0.24
676,0,0.16,-0.16,-0.32
677,0.08,0.16,-0.08,-0.24
678,0,0.16,-0.16,-0.32
679,0.08,0.16,-0.08,-0.24
680,0,0.16,-0.16,-0.32
681,0.08,0.16,-0.08,-0.24
682,0,0.16,-0.16,-0.32
683,0.08,0.16,-0.08,-0.24
684,0,0.08,-0.16,-0.32
685,0.08,0.16,-0.08,-0.24
686,0,0.16,-0.16,-0.32
687,4.32,0.16,-0.08,-0.16
688,-1.52,0.16,-0.16,-0.4
689,0.08,0.16,-0.08,-0.24
690,0,0.16,-0.16,-0.32
691,0.08,0.16,-0.08,4
692,-0.08,0.16,-0.16,-1.84
693,0.08,0.16,-0.08,-0.24
694,0,0.16,-0.16,-0.32
695,0.08,0.16,-0.08,-0.24
696,0,0.16,-0.16,-0.32
697,0.08,0.16,-0.08,-0.24
698,0,0.08,-0.16,-0.32
699,0.08,0.16,-0.08,-0.24
700,0,0.16,-0.16,-0.32
701,0.08,0.16,-0.08,-0.24
702,0,0.08,-0.16,-0.32
703,4.32,0.16,-0.08,-0.16
704,-1.52,0.16,-0.16,-0.4
705,0.08,0.16,-0.08,-0.24
706,0,0.16,-0.16,-0.32
707,0.08,0.16,-0.08,-0.24
708,0,0.16,-0.16,-0.32
709,0.08,0.16,-0.08,-0.24
710,0,0.16,-0.16,-0.32
711,0.08,0.16,-0.08,4
712,-0.08,0.16,-0.16,-1.84
713,0.08,0.16,-0.08,-0.24
714,0,0.16,-0.16,-0.32
715,0.08,0.16,-0.08,-0.24
716,0,0.16,-0.16,-0.32
717,0.08,0.16,-0.08,-0.24
718,0,0.16,-0.16,-0.32
719,4.32,0.16,-0.08,-0.16
720,-1.52,0.16,-0.16,-0.4
721,0.08,0.16,-0.08,-0.24
722,0,0.16,-0.16,-0.32
723,0.08,0.16,-0.08,-0.24
